id,timestamp,target_id,temperature,cpu_load
5e92a2e0e44211e58384b827eb1899c4,1457340941030.0,pi0,49.8,100.0
5eca1b26e44211e58384b827eb1899c4,1457340941393.0,pi0,49.2,100.0
5ef449fae44211e58384b827eb1899c4,1457340941670.0,pi0,49.2,100.0
5f2e4588e44211e58384b827eb1899c4,1457340942050.0,pi0,49.8,100.0
5f65305ce44211e58384b827eb1899c4,1457340942410.0,pi0,49.8,100.0
5f903ff4e44211e58384b827eb1899c4,1457340942692.0,pi0,49.2,100.0
5fc3351ce44211e58384b827eb1899c4,1457340943026.0,pi0,49.8,100.0
5ff907c8e44211e58384b827eb1899c4,1457340943379.0,pi0,49.8,99.3
602855e6e44211e58384b827eb1899c4,1457340943689.0,pi0,50.3,100.0
605dbbdce44211e58384b827eb1899c4,1457340944039.0,pi0,49.8,100.0
608d52ace44211e58384b827eb1899c4,1457340944350.0,pi0,50.3,100.0
60bddc60e44211e58384b827eb1899c4,1457340944669.0,pi0,49.8,100.0
60ea1c26e44211e58384b827eb1899c4,1457340944959.0,pi0,49.8,100.0
611af1fce44211e58384b827eb1899c4,1457340945279.0,pi0,49.8,100.0
614a404ce44211e58384b827eb1899c4,1457340945589.0,pi0,49.8,100.0
618191d2e44211e58384b827eb1899c4,1457340945951.0,pi0,49.8,100.0
61ac3afee44211e58384b827eb1899c4,1457340946231.0,pi0,49.8,100.0
61e1511ce44211e58384b827eb1899c4,1457340946579.0,pi0,49.8,100.0
620f16bae44211e58384b827eb1899c4,1457340946879.0,pi0,49.8,100.0
623b5496e44211e58384b827eb1899c4,1457340947169.0,pi0,49.8,100.0
6270bdfce44211e58384b827eb1899c4,1457340947519.0,pi0,49.8,100.0
629cfc5ae44211e58384b827eb1899c4,1457340947809.0,pi0,49.8,100.0
62cdd258e44211e58384b827eb1899c4,1457340948129.0,pi0,49.2,100.0
6304bda4e44211e58384b827eb1899c4,1457340948489.0,pi0,49.2,100.0
6330fe64e44211e58384b827eb1899c4,1457340948779.0,pi0,50.3,100.0
6361d642e44211e58384b827eb1899c4,1457340949099.0,pi0,49.8,100.0
63a38e20e44211e58384b827eb1899c4,1457340949529.0,pi0,49.8,100.0
63d2edc8e44211e58384b827eb1899c4,1457340949840.0,pi0,49.8,100.0
640544dae44211e58384b827eb1899c4,1457340950170.0,pi0,49.2,100.0
643b1420e44211e58384b827eb1899c4,1457340950522.0,pi0,49.2,100.0
6469fa2ee44211e58384b827eb1899c4,1457340950830.0,pi0,49.8,100.0
649f377ae44211e58384b827eb1899c4,1457340951179.0,pi0,49.8,100.0
64c9eda8e44211e58384b827eb1899c4,1457340951459.0,pi0,49.2,100.0
64fcbd3ce44211e58384b827eb1899c4,1457340951791.0,pi0,50.3,99.2
65333ac4e44211e58384b827eb1899c4,1457340952149.0,pi0,50.3,100.0
655fa578e44211e58384b827eb1899c4,1457340952440.0,pi0,49.8,100.0
65950c40e44211e58384b827eb1899c4,1457340952790.0,pi0,49.8,100.0
65c8eccce44211e58384b827eb1899c4,1457340953130.0,pi0,49.8,98.5
65f6908ce44211e58384b827eb1899c4,1457340953429.0,pi0,49.8,100.0
66331eb2e44211e58384b827eb1899c4,1457340953826.0,pi0,50.3,100.0
6662273ee44211e58384b827eb1899c4,1457340954134.0,pi0,49.8,100.0
66991a8ce44211e58384b827eb1899c4,1457340954494.0,pi0,49.8,100.0
66c9dd20e44211e58384b827eb1899c4,1457340954814.0,pi0,50.3,100.0
66f55aa4e44211e58384b827eb1899c4,1457340955099.0,pi0,49.8,100.0
6726328ce44211e58384b827eb1899c4,1457340955419.0,pi0,49.8,100.0
6757c8b0e44211e58384b827eb1899c4,1457340955744.0,pi0,49.8,100.0
67934ba6e44211e58384b827eb1899c4,1457340956134.0,pi0,49.8,100.0
67c8225ee44211e58384b827eb1899c4,1457340956480.0,pi0,49.8,100.0
6801e8b8e44211e58384b827eb1899c4,1457340956859.0,pi0,49.8,100.0
6832bd6ce44211e58384b827eb1899c4,1457340957179.0,pi0,49.2,100.0
685f0110e44211e58384b827eb1899c4,1457340957469.0,pi0,49.8,100.0
68908014e44211e58384b827eb1899c4,1457340957793.0,pi0,49.8,100.0
68bd968ae44211e58384b827eb1899c4,1457340958089.0,pi0,49.8,100.0
68f4b21ee44211e58384b827eb1899c4,1457340958450.0,pi0,50.3,100.0
69287cc0e44211e58384b827eb1899c4,1457340958789.0,pi0,49.8,100.0
69532286e44211e58384b827eb1899c4,1457340959069.0,pi0,49.8,100.0
698691c0e44211e58384b827eb1899c4,1457340959406.0,pi0,49.2,100.0
69b6b5f8e44211e58384b827eb1899c4,1457340959721.0,pi0,49.8,100.0
69ed6e9ae44211e58384b827eb1899c4,1457340960080.0,pi0,49.2,100.0
6a1f9d98e44211e58384b827eb1899c4,1457340960409.0,pi0,49.8,100.0
6a6d98f4e44211e58384b827eb1899c4,1457340960920.0,pi0,50.3,100.0
6aa2e9a0e44211e58384b827eb1899c4,1457340961269.0,pi0,49.8,100.0
6af6e51ee44211e58384b827eb1899c4,1457340961820.0,pi0,49.8,99.5
6b23061ce44211e58384b827eb1899c4,1457340962109.0,pi0,49.8,100.0
6b740364e44211e58384b827eb1899c4,1457340962639.0,pi0,49.8,100.0
